time,weather_code (wmo code),temperature_2m_mean (°C),sunshine_duration (s),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²)
2025-06-30,63,24.7,32877.25,30.1,21.9,5.30,8.0,12.3,317,17.04
2025-07-01,63,24.9,38132.13,29.9,22.4,8.20,8.0,10.7,213,17.61
2025-07-02,53,25.6,38449.43,30.0,22.1,1.00,4.0,7.0,221,18.76
2025-07-03,53,25.2,35499.38,29.9,21.6,2.20,8.0,8.2,100,16.77
2025-07-04,63,25.8,41869.10,30.2,21.3,2.90,2.0,9.2,162,18.50
2025-07-05,61,24.9,30937.66,29.6,21.5,5.50,9.0,9.5,208,16.62
2025-07-06,61,25.0,29627.47,29.8,21.8,6.90,11.0,8.6,185,16.22
2025-07-07,63,24.7,29443.12,29.0,22.0,10.70,8.0,8.8,164,16.40
2025-07-08,51,25.4,34309.66,29.6,21.8,0.90,6.0,7.4,195,17.68
2025-07-09,63,25.1,41837.13,30.0,22.4,12.20,12.0,11.7,161,17.73
2025-07-10,51,25.6,41910.04,30.0,21.1,0.50,3.0,9.7,161,20.65
2025-07-11,55,25.2,38125.43,29.0,22.2,2.10,5.0,9.6,181,15.48
2025-07-12,3,25.9,41927.26,30.9,21.3,0.00,0.0,9.0,73,20.93
2025-07-13,53,25.9,40811.51,31.6,21.4,1.10,5.0,9.1,149,18.05
2025-07-14,51,25.8,28910.94,29.9,22.6,1.30,5.0,7.6,142,13.43
2025-07-15,61,26.9,41389.46,31.8,22.5,2.60,4.0,10.8,179,17.63
2025-07-16,61,27.1,41966.26,33.1,23.1,1.30,1.0,9.5,170,17.07
2025-07-17,53,26.4,41976.88,32.2,23.1,1.50,5.0,10.0,159,18.40
2025-07-18,51,27.0,41657.77,32.5,23.0,0.20,2.0,9.0,182,19.37
2025-07-19,51,27.1,41999.06,34.0,20.2,0.20,1.0,10.9,168,21.53
2025-07-20,3,27.6,42010.61,34.7,22.2,0.00,0.0,12.3,177,20.01
2025-07-21,51,27.8,39434.43,32.6,24.5,0.60,6.0,7.6,135,19.58
2025-07-22,3,26.6,42034.51,32.3,20.6,0.00,0.0,11.0,134,21.43
2025-07-23,3,27.2,42046.85,33.1,21.5,0.00,0.0,12.4,129,21.67
2025-07-24,51,27.5,40526.91,34.1,21.1,0.10,1.0,16.3,152,21.08
2025-07-25,51,27.7,40861.87,33.6,23.0,0.80,5.0,11.7,123,21.14
2025-07-26,3,28.2,41666.82,33.8,23.0,0.00,0.0,8.7,107,21.14
2025-07-27,51,27.2,41016.82,33.0,22.8,0.20,2.0,10.1,185,19.40
2025-07-28,53,26.6,42000.17,32.2,23.1,1.20,3.0,16.4,159,18.48
2025-07-29,51,26.9,41755.01,31.0,23.5,0.30,3.0,12.4,168,17.30
2025-07-30,53,27.0,39792.21,32.8,23.5,2.00,8.0,11.7,163,17.21
2025-07-31,51,27.7,42156.16,32.8,23.0,0.20,2.0,13.2,96,21.18
2025-08-01,2,27.7,42171.32,33.2,22.5,0.00,0.0,11.1,75,22.01
2025-08-02,51,27.4,42186.78,33.5,21.6,0.40,2.0,9.9,115,22.45
2025-08-03,53,26.5,41040.73,34.2,22.4,2.40,6.0,16.9,196,20.20
2025-08-04,55,25.4,32424.85,30.6,22.0,3.10,6.0,11.3,193,17.20
2025-08-05,51,25.9,37731.90,30.9,22.2,0.20,1.0,7.8,126,18.12
2025-08-06,51,26.4,41549.41,31.2,22.0,0.10,1.0,8.5,88,19.64
2025-08-07,53,26.6,42042.45,31.7,22.8,1.20,2.0,7.6,177,19.70
2025-08-08,55,26.4,42284.69,30.9,21.9,1.50,5.0,9.9,89,19.43
2025-08-09,53,26.2,36648.38,32.2,22.6,1.90,7.0,11.8,152,17.91
2025-08-10,63,26.7,41609.10,32.8,22.5,3.60,6.0,9.2,163,19.71
2025-08-11,63,25.6,30478.97,30.9,22.2,5.10,10.0,9.8,207,15.69
2025-08-12,63,24.7,24899.06,29.9,22.0,5.70,7.0,8.1,138,13.57
2025-08-13,65,24.5,36831.52,30.0,20.7,11.80,6.0,11.1,115,19.84
2025-08-14,61,24.6,21259.44,29.6,22.0,8.60,13.0,9.0,168,12.51
2025-08-15,51,25.5,42406.80,30.4,20.7,0.10,1.0,11.4,175,22.83
2025-08-16,51,25.7,42424.66,31.5,20.5,0.20,2.0,9.1,137,22.90
2025-08-17,51,26.4,42442.80,32.0,21.2,0.60,3.0,16.7,67,22.11
2025-08-18,63,25.6,40140.48,32.2,21.2,13.70,8.0,17.7,82,19.10
2025-08-19,61,24.3,18901.23,28.1,22.0,7.80,9.0,9.4,194,11.35
2025-08-20,63,25.5,30970.50,30.4,22.5,7.60,7.0,9.5,175,14.52
2025-08-21,61,25.2,31148.40,28.7,22.2,2.00,4.0,6.9,48,12.23
2025-08-22,63,25.4,42484.71,30.9,21.8,13.20,10.0,8.5,123,21.16
2025-08-23,53,25.6,41350.50,30.5,22.0,3.00,9.0,8.0,160,20.89
2025-08-24,61,25.9,42557.50,31.1,21.9,2.30,5.0,11.5,160,20.01
2025-08-25,63,24.9,39333.22,29.4,21.5,11.40,5.0,9.6,133,17.44
2025-08-26,2,25.6,42591.75,31.5,19.2,0.00,0.0,8.5,159,22.68
2025-08-27,51,26.1,40462.68,33.0,19.5,0.30,2.0,14.0,173,22.30
2025-08-28,55,26.0,39435.97,31.0,22.8,2.20,7.0,15.3,184,19.98
2025-08-29,51,25.8,40353.00,30.4,22.0,0.70,4.0,18.0,180,17.30
2025-08-30,63,26.1,36397.35,31.7,23.1,11.60,13.0,11.3,169,20.71
2025-08-31,55,25.5,39368.63,30.9,21.9,2.80,6.0,9.5,103,19.19
2025-09-01,51,26.8,42343.94,31.6,21.5,1.40,6.0,10.4,100,21.99
2025-09-02,3,27.4,42535.31,34.3,22.2,0.00,0.0,16.6,99,23.57
2025-09-03,3,27.3,42526.84,34.7,21.1,0.00,0.0,19.2,73,24.67
2025-09-04,51,27.6,42344.95,34.6,22.0,0.50,2.0,17.3,86,23.50
